	belief	argument	label	gold_graph	generated_graph	retrieved_graph
2042	Abolishing mandatory retirement will help end age discrimination.	Abolishing mandatory retirement will not prevent employers from finding new ways to engage in age discrimination.	counter	[['abolishing mandatory retirement', 'causes', 'alternative methods'], ['alternative methods', 'capable of', 'age discrimination'], ['age discrimination', 'created by', 'employers']]	[['abolishing mandatory retirement', '_usedfor', 'getting job'], ['getting job', 'hassubevent', '', '_capableof', 'employers']]	[['retirement', 'causesdesire', 'have_party'], ['have_party', 'motivatedbygoal', 'socialize'], ['socialize', 'motivatedbygoal', 'company'], ['company', 'capableof', 'pay_employees'], ['pay_employees', '_capableof', 'employers']]
507	zero tolerance is too harsh for children.	zero tolerance prevents children from acting up	counter	[['zero tolerance', 'capable of', 'effective'], ['effective', 'used for', 'children'], ['children', 'capable of', 'acting up']]	[['zero tolerance', 'hascontext', '', '_usedfor', 'acting up']]	[['tolerance', '_hasprerequisite', 'drinking'], ['drinking', '_causes', 'buying_beer'], ['buying_beer', 'causes', 'have_fun'], ['have_fun', '_desires', 'children']]
316	Everyone should be allowed to worship whatever God they want, and follow whatever religion they want.	Religion is a personal choice	support	[['religion', 'has context', 'people'], ['people', 'desires', 'allowed to worship'], ['allowed to worship', 'is a', 'personal choice']]	[['religion', '_hascontext', 'personal choice']]	[['god', 'partof', 'religion']]
1056	Bad foster care parents has negative effect o a kid	Foster care parents really needs children and most do take care of the children	counter	[['parents', 'capable of', 'adoption'], ['adoption', 'used for', 'children'], ['children', 'receives action', 'care'], ['care', 'is not a', 'negative']]	[['parents', '_hasa', 'everyone'], ['everyone', 'hasproperty', 'negative']]	[['kid', 'isa', 'person'], ['person', 'desires', 'parents']]
1494	this event is important for the world	they cost a lot and those money can be used elsewhere.	counter	[['money', 'capable of', 'used elsewhere'], ['event', 'has property', 'cost a lot'], ['cost a lot', 'desires', 'money'], ['used elsewhere', 'is not a', 'important']]	[['money', 'hasproperty', 'important']]	[['event', '_isa', 'time'], ['time', 'isa', 'money']]
1806	Abolishing intellectual property rights is good.	Abolishing intellectual property rights allows people to achieve greatness.	support	[['intellectual property rights', 'desires', 'banning'], ['abolishing', 'capable of', 'achieve greatness'], ['banning', 'synonym of', 'abolishing'], ['achieve greatness', 'is a', 'good']]	[['intellectual property rights', '_hasa', 'intellectual property'], ['intellectual property', 'hasproperty', 'good']]	[['rights', '_hasa', 'people']]
1127	Compulsory voting forces people to contribute their opinion.	By making voting compulsory, we force people to share their opinion.	support	[['compulsory voting', 'has context', 'forces voting'], ['forces voting', 'causes', 'contribute their opinion'], ['voting compulsory', 'causes', 'force people'], ['force people', 'desires', 'forces voting']]	[['compulsory voting', 'isa', '', '_distinctfrom', 'mandatory _similartoforces voting']]	[['compulsory', '_distinctfrom', 'optional'], ['optional', 'hascontext', 'programming'], ['programming', 'hascontext', 'act'], ['act', '_isa', 'election'], ['election', '_causes', 'voting']]
1401	homeopathy is not political.	homeopathy has nothing to do with lobbyists.	support	[['homeopathy', 'part of', 'alternative medicine'], ['alternative medicine', 'is not a', 'political'], ['lobbyists', 'part of', 'political']]	[['homeopathy', 'hascontext', 'medicine entails contact'], ['medicine entails contact', 'hascontext', 'political']]	-1
191	The military is worse than blockades.	The military is not always the most helpful.	support	[['blockades', 'has property', 'most helpful'], ['most helpful', 'has property', 'no killing'], ['no killing', 'not part of', 'the military'], ['the military', 'used for', 'armed conflict'], ['armed conflict', 'has property', 'worse than blockades']]	[['blockades', 'isa', 'worse than blockades']]	[['worse', 'distinctfrom', 'better'], ['better', '_causes', 'crying'], ['crying', 'isa', 'event'], ['event', 'isa', 'military']]
1633	Libertarianism has great negative in tax which is favorable to everyone	Libertarianism is considered bad and not applicable in a country	counter	[['libertarianism', 'is a', 'bad'], ['libertarianism', 'is a', 'not applicable'], ['libertarianism', 'desires', 'limited government'], ['bad', 'is not a', 'favorable to everyone'], ['limited government', 'is not a', 'negative in tax']]	[['libertarianism', 'hascontext', 'libertarianism'], ['libertarianism', 'hasproperty', 'negative in tax']]	[['great', 'distinctfrom', 'bad'], ['bad', '_hasproperty', 'political_ideology'], ['political_ideology', '_isa', 'libertarianism']]
221	Women should not be allowed in combat.	Some believe that the biomechanics of women allow them to not carry a similar weight of equipment as men.	support	[['women', 'not capable of', 'strength'], ['strength', 'created by', 'biomechanics'], ['biomechanics', 'used for', 'weapons'], ['weapons', 'used for', 'combat']]	[['women', 'hasproperty', '', '_distinctfrom', '', '_hasprerequisite', 'combat']]	[['women', '_distinctfrom', 'man'], ['man', 'isa', 'person'], ['person', 'desires', 'different'], ['different', 'distinctfrom', 'similar']]
2148	LGBTQ tolerance is imperative.	Old values do not need to be changed.	counter	[['old values', 'not desires', 'changed'], ['old values', 'capable of', 'imperative'], ['tolerance', 'not part of', 'old values']]	[]	[['lgbtq', '_isa', 'queer'], ['queer', 'hascontext', 'slang'], ['slang', '_hascontext', 'body'], ['body', '_hasa', 'everyone'], ['everyone', 'hasa', 'values']]
198	The Gaza Strip must remain blockaded for Israel's security.	Israel must protect themselves from terrorists in the Gaza Strip.	support	"[['gaza strip', 'has property', 'harboring terrorists'], ['harboring terrorists', 'has context', ""israel's security""], [""israel's security"", 'desires', 'control of region'], ['control of region', 'has subevent', 'blockaded'], ['blockaded', 'has subevent', 'protect themselves']]"	[['gaza strip', 'isa', '', '_hasprerequisite', 'fighting enemy'], ['fighting enemy', 'usedfor', 'protect themselves']]	[['remain', 'distinctfrom', 'leave'], ['leave', '_distinctfrom', 'enter'], ['enter', 'hascontext', 'historical'], ['historical', '_hascontext', 'israel']]
443	Tests give you a basis for evaluating someone's intelligence	Intelligence tests measure basic intelligence.	support	"[['intelligence tests', 'used for', 'measuring capabilities'], ['measuring capabilities', 'part of', 'intelligence'], ['measuring capabilities', 'used for', ""someone's""]]"	"[['intelligence tests', '_usedfor', 'student'], ['student', 'isa', 'person'], ['person', 'desires', ""somebody's""]]"	[['evaluating', '_isa', 'comparing'], ['comparing', '_usedfor', 'remembering'], ['remembering', 'hasprerequisite', 'intelligence']]
639	Companies charge huge fees to people who need their services.	These fees go toward improving customer service which is good for people who use the services.	support	[['company', 'capable of', 'charging huge fees'], ['charging huge fees', 'used for', 'improving customer service'], ['improving customer service', 'used for', 'everyone'], ['everyone', 'part of', 'people'], ['people', 'desires', 'their services']]	[['company', 'usedfor', 'our services']]	[['charge', '_atlocation', 'human'], ['human', 'atlocation', 'bar'], ['bar', '_atlocation', 'customer']]
60	urbanization is a negative for society.	The countryside provides little opportunity.	counter	[['countryside', 'has context', 'few jobs exist'], ['few jobs exist', 'causes', 'provides little opportunity'], ['provides little opportunity', 'desires', 'urbanization'], ['urbanization', 'capable of', 'provides job opportunity'], ['provides job opportunity', 'is not a', 'negative for society']]	[['countryside', '_atlocation', 'garbage waste'], ['garbage waste', 'hasproperty', 'negative for society']]	[['negative', 'hascontext', 'mathematics'], ['mathematics', 'hasproperty', 'beautiful'], ['beautiful', '_hasproperty', 'countryside']]
1642	Since the animals involved with factory farming live in deplorable conditions, it shouldn't be allowed.	People need food.	counter	[['food', 'created by', 'factory farming'], ['animals', 'used for', 'food'], ['animals', 'synonym of', 'livestock'], ['livestock', 'not has context', 'deplorable conditions'], ['factory farming', 'synonym of', 'commercial farming'], ['commercial farming', 'desires', 'be allowed'], ['people', 'desires', 'food']]	[['food', '_isa', 'food']]	[['animals', 'atlocation', 'fair'], ['fair', '_atlocation', 'people']]
445	social networks give people a quick and easy opportunity to be in touch with distant friends and family.	Social media connects you to people you can't see in person.	support	[['social media', 'synonym of', 'social networks'], ['social media', 'capable of', 'connects'], ['connects', 'capable of', 'be in touch']]	[['social media', '_hascontext', 'be in touch']]	[['networks', '_usedfor', 'connection'], ['connection', '_hasa', 'internet'], ['internet', '_hascontext', 'social']]
1389	The owner of a company is entitled to maximize personal gains.	By owning the company, the owner deserves to make as much as possible.	support	[['owner', 'has property', 'all company risk'], ['all company risk', 'receives action', 'all company reward'], ['all company reward', 'synonym of', 'much as possible'], ['much as possible', 'synonym of', 'maximize personal gains']]	[['owner', 'capableof', 'maximize personal gains']]	[['company', 'desires', 'money'], ['money', '_hasprerequisite', 'buying_products'], ['buying_products', 'causes', 'owning']]
738	Even with school uniforms, children can use accessories to make their look individual.	Accessories can be worn with school uniforms.	support	[['school uniforms', 'has property', 'plain'], ['plain', 'causes', 'use accessories'], ['use accessories', 'synonym of', 'adorn with flair'], ['adorn with flair', 'causes', 'look individual'], ['look individual', 'has context', 'can be worn']]	[['school uniforms', 'atlocation', 'drawer'], ['drawer', 'usedfor', 'can be worn']]	[['children', 'atlocation', 'school']]
1291	It is desecrating to the American flag to burn it	The American flag is a symbol of our country. When someone burns it they are wishing ill upon our nation	support	[['american flag', 'is a', 'symbol'], ['symbol', 'has property', 'our country'], ['symbol', 'not desires', 'burn it'], ['burn it', 'capable of', 'wishing ill'], ['wishing ill', 'synonym of', 'desecrating']]	[['american flag', 'atlocation', '', '_causes', 'desecrating']]	[['burn', '_notdesires', 'person'], ['person', '_isa', 'american']]
1950	People who are vulnerable will be exploited by the trade of organs for money.	People have the right to choose what to do with their bodies.	counter	[['people', 'desires', 'right to choose'], ['right to choose', 'has context', 'with their bodies'], ['right to choose', 'has context', 'trade of organs'], ['vulnerable', 'not capable of', 'taken advantage of'], ['taken advantage of', 'synonym of', 'be exploited'], ['vulnerable', 'desires', 'right to choose']]	[['people', 'hasproperty', 'right to choose']]	[['organs', 'atlocation', 'person'], ['person', '_hasa', 'people']]
1126	If we ban cosmetic surgery for minors a dangerous black market will be established	Minors should have the ability to decide for themselves about their own body	support	[['minors', 'desires', 'decide for themselves'], ['decide for themselves', 'has context', 'their own body'], ['decide for themselves', 'has property', 'cosmetic surgery'], ['cosmetic surgery', 'not desires', 'restricted'], ['restricted', 'synonym of', 'ban'], ['restricted', 'capable of', 'dangerous black market']]	[['minors', 'hasproperty', 'dangerous black market']]	[['surgery', '_isa', 'body']]
